CustomerID,CallCenterInteractions,ComplaintCount,TechSupportTickets,PaymentIssues
C0262,8,4,3,1
C0263,3,1,8,0
C0264,0,3,9,1
C0265,13,5,5,1
C0266,0,1,1,0
C0267,9,3,6,0
C0268,3,3,1,0
C0269,11,7,1,0
C0270,13,4,0,0
C0271,6,6,2,0
C0272,1,0,5,0
C0273,2,6,7,0
C0274,0,0,8,1
C0275,4,2,6,0
C0276,0,4,3,1
C0277,7,3,5,0
C0278,0,5,4,0
C0279,10,0,7,0
C0280,0,6,0,0
C0281,1,3,0,1
C0282,1,0,5,0
C0283,11,0,9,1
C0284,5,7,1,0
C0285,6,0,4,0
C0286,4,5,0,0
C0287,0,4,6,0
C0288,0,5,0,0
C0289,2,1,3,0
C0290,13,3,8,0
C0291,1,4,0,0
C0292,4,7,3,0
C0293,11,4,5,0
C0294,9,4,5,0
C0295,5,6,7,0
C0296,6,4,0,0
C0297,3,7,6,0
C0298,6,5,0,0
C0299,10,4,6,0
C0300,7,2,2,0
C0301,10,3,7,1
C0302,0,4,2,0
C0303,14,3,0,0
C0304,5,2,7,0
C0305,7,2,2,0
C0306,4,3,1,0
C0307,3,0,0,0
C0308,1,1,2,1
C0309,5,6,1,0
C0310,5,0,1,0
C0311,10,0,5,0
C0312,14,5,0,0
C0313,0,6,1,0
C0314,8,6,5,0
C0315,11,0,2,0
C0316,10,4,3,1
C0317,5,5,0,0
C0318,12,5,7,0
C0319,2,2,6,0
C0320,3,7,6,0
C0321,11,6,2,0
C0322,10,0,9,0
C0323,3,2,9,1
C0324,2,3,2,1
C0325,9,1,1,0
C0326,2,7,0,1
C0327,14,7,6,0
C0328,2,7,6,0
C0329,3,5,1,0
C0330,6,3,6,1
C0331,3,7,7,0
C0332,8,3,0,0
C0333,0,4,8,0
C0334,7,7,6,0
C0335,6,1,2,0
C0336,1,3,7,0
C0337,7,3,6,0
C0338,0,1,7,0
C0339,10,7,5,0
C0340,11,1,8,0
C0341,8,3,4,0
C0342,8,1,2,0
C0343,1,3,2,0
C0344,6,3,0,0
C0345,14,4,7,0
C0346,13,0,1,1
C0347,9,3,2,0
C0348,2,7,7,0
C0349,6,2,7,0
C0350,11,5,3,0
C0351,9,6,3,0
C0352,8,0,4,0
C0353,3,0,5,0
C0354,11,0,4,0
C0355,0,4,6,1
C0356,1,3,1,1
C0357,0,4,6,0
C0358,13,3,9,0
C0359,11,7,6,1
C0360,4,4,0,0
C0361,4,4,6,0
C0362,10,5,4,1
C0363,6,2,2,0
C0364,8,4,2,0
C0365,8,5,3,1
C0366,2,1,1,0
C0367,2,2,1,0
C0368,2,7,0,0
C0369,3,4,4,1
C0370,7,6,3,1
C0371,5,0,9,1
C0372,7,1,1,0
C0373,0,1,2,1
C0374,7,7,6,1
C0375,3,5,6,0
C0376,10,1,3,1
C0377,0,2,4,1
C0378,7,4,4,0
C0379,3,4,5,0
C0380,5,6,8,0
C0381,7,7,1,0
C0382,3,0,4,0
C0383,13,5,2,0
C0384,2,0,3,1
C0385,13,1,9,1
C0386,8,7,5,1
C0387,2,6,7,0
C0388,8,0,0,0
C0389,12,2,9,0
C0390,1,4,7,0
C0391,13,1,6,1
C0392,1,6,0,1
C0393,1,0,1,0
C0394,5,5,2,1
C0395,2,2,0,1
C0396,12,2,8,0
C0397,8,0,7,1
C0398,3,4,1,0
C0399,0,0,8,0
C0400,3,1,6,0
C0401,0,0,8,0
C0402,13,2,5,0
C0403,4,6,5,0
C0404,3,0,3,0
C0405,7,4,9,0
C0406,7,7,9,0
C0407,6,6,1,0
C0408,2,5,6,0
C0409,0,3,4,0
C0410,0,0,5,0
C0411,11,4,1,0
C0412,10,6,4,0
C0413,2,4,9,0
C0414,5,5,3,1
C0415,6,2,8,0
C0416,5,4,5,0
C0417,13,6,1,1
C0418,13,4,0,1
C0419,5,4,4,1
C0420,5,4,8,1
C0421,12,1,5,0
C0422,2,1,9,0
C0423,5,2,6,0
C0424,7,0,4,0
C0425,10,4,9,0
C0426,10,5,5,0
C0427,1,0,4,0
C0428,4,5,8,1
C0429,13,0,5,1
C0430,0,2,7,0
C0431,11,4,1,1
C0432,14,4,8,0
C0433,0,3,4,1
C0434,4,5,6,0
C0435,11,0,9,1
C0436,12,0,0,0
C0437,2,7,9,0
C0438,3,7,4,0
C0439,2,1,9,0
C0440,0,3,1,0
C0441,0,6,5,0
C0442,11,7,0,0
C0443,11,6,2,0
C0444,13,1,4,0
C0445,12,1,3,1
C0446,13,1,2,0
C0447,4,5,9,0
C0448,5,5,4,0
C0449,2,2,7,1
C0450,11,2,3,0
C0451,8,1,0,1
C0452,4,3,6,1
C0453,7,0,7,0
C0454,12,5,2,0
C0455,0,3,5,1
C0456,13,4,1,1
C0457,4,5,6,0
C0458,14,5,7,0
C0459,2,2,5,1
C0460,11,0,5,0
C0461,0,0,4,1
C0462,3,7,7,0
C0463,14,6,0,0
C0464,12,6,9,1
C0465,4,6,3,0
C0466,6,6,3,0
C0467,0,4,2,0
C0468,2,4,2,0
C0469,1,5,3,0
C0470,8,1,0,0
C0471,9,2,1,0
C0472,14,2,8,1
C0473,5,6,9,0
C0474,9,5,1,0
C0475,2,7,4,0
C0476,7,3,8,1
C0477,13,1,8,1
C0478,7,5,7,0
C0479,1,1,0,0
C0480,14,1,0,0
C0481,5,1,8,1
C0482,6,5,7,1
C0483,1,6,9,0
C0484,14,2,8,1
C0485,10,2,6,1
C0486,9,6,2,0
C0487,1,1,2,0
C0488,9,3,1,0
C0489,0,0,4,0
C0490,7,5,2,1
C0491,0,0,5,0
C0492,8,7,1,0
C0493,10,6,2,0
C0494,5,3,4,0
C0495,6,5,0,0
C0496,12,6,0,0
C0497,9,1,9,0
C0498,6,2,8,0
C0499,9,0,6,0
C0500,2,4,0,0
C0501,1,4,7,0
C0502,8,3,2,0
C0503,7,1,7,0
C0504,12,7,4,0
C0505,11,0,0,0
C0506,9,1,6,0
C0507,6,0,4,1
C0508,8,3,5,0
C0509,3,3,5,0
C0510,12,7,7,1
C0511,3,4,8,0
C0512,0,1,1,0
C0513,7,5,8,1
C0514,13,4,9,1
C0515,13,1,8,0
C0516,11,4,9,0
C0517,2,5,9,0
C0518,6,2,6,0
C0519,14,2,0,0
C0520,11,7,6,0
C0521,1,2,9,0
C0522,1,2,4,0
C0523,6,6,5,1
C0524,14,0,9,0
C0525,5,6,6,0
C0526,2,6,4,0
C0527,8,7,6,0
C0528,9,6,8,0
C0529,14,2,2,0
C0530,13,5,7,0
C0531,12,7,1,0
C0532,5,7,6,0
C0533,9,3,1,0
C0534,9,7,3,0
C0535,5,3,6,0
C0536,0,7,2,1
C0537,3,0,1,0
C0538,9,2,9,0
C0539,5,7,6,0
C0540,14,2,0,0
C0541,5,2,7,1
C0542,10,4,2,0
C0543,11,7,1,1
C0544,4,1,2,0
C0545,0,4,4,0
C0546,7,1,7,0
C0547,4,2,9,1
C0548,11,2,6,0
C0549,11,4,6,0
C0550,11,4,6,1
C0551,4,1,7,0
C0552,6,3,0,0
C0553,3,1,3,0
C0554,5,4,5,1
C0555,12,5,8,0
C0556,3,4,1,1
C0557,13,5,0,1
C0558,14,0,9,0
C0559,2,4,1,0
C0560,6,0,6,0
C0561,7,3,2,0
C0562,3,1,9,1
C0563,12,5,1,1
C0564,1,1,6,0
C0565,11,0,1,0
C0566,9,5,2,0
C0567,13,1,6,0
C0568,2,4,3,0
C0569,0,2,0,0
C0570,7,0,4,0
C0571,14,1,8,0
C0572,2,0,7,0
C0573,11,6,8,0
C0574,9,0,9,0
C0575,6,5,8,1
C0576,9,6,6,0
C0577,4,7,3,1
C0578,9,5,4,1
C0579,4,2,0,0
C0580,13,6,0,1
C0581,6,7,2,0
C0582,14,4,7,0
C0583,8,0,1,0
C0584,11,1,3,0
C0585,4,3,1,0
C0586,0,0,4,0
C0587,9,7,8,0
C0588,9,0,0,0
C0589,0,2,4,0
C0590,14,4,8,1
C0591,1,3,0,0
C0592,13,6,8,0
C0593,5,6,7,1
C0594,8,6,3,0
C0595,7,7,9,0
C0596,12,5,4,0
C0597,4,5,4,0
C0598,0,1,5,1
C0599,12,3,6,0
C0600,6,6,7,1
