LocationID,Year,PM25_ug_m3,Ozone_ppb,IndustrialEmissions_tons
14.0,2018.0,50.2,47.0,32007
7.0,2012.0,11.0,26.9,46408
4.0,2002.0,35.1,49.4,38957
9.0,2006.0,10.2,61.5,4713
5.0,2011.0,22.5,63.2,35503
18.0,2002.0,45.0,45.9,41194
,2001.0,79.6,72.9,10686
20.0,2007.0,48.5,27.1,48556
13.0,2014.0,20.1,62.9,24197
16.0,2011.0,31.1,73.2,40891
3.0,2015.0,33.7,29.6,49231
5.0,2019.0,74.5,63.2,33376
20.0,2005.0,24.3,83.0,5895
1.0,2020.0,67.0,82.6,20169
14.0,2003.0,27.7,41.0,19792
2.0,2024.0,46.5,44.4,39067
4.0,2017.0,43.7,93.6,11382
5.0,2019.0,20.6,94.4,13329
6.0,2017.0,52.1,73.9,46033
14.0,2005.0,15.6,37.0,41461
9.0,2014.0,35.2,33.9,21609
3.0,2017.0,76.8,65.8,29937
2.0,2024.0,41.0,45.1,9286
14.0,2000.0,50.5,81.2,15716
20.0,2002.0,76.5,86.0,6772
2.0,2007.0,40.9,60.5,32822
4.0,2012.0,46.2,97.3,12871
13.0,2013.0,70.7,42.2,36262
6.0,2010.0,51.5,72.0,7610
19.0,2004.0,63.6,56.8,37618
18.0,2023.0,27.3,54.4,45936
3.0,2020.0,14.1,44.3,10074
7.0,2015.0,56.9,69.4,47851
7.0,2007.0,66.0,69.2,42779
20.0,2003.0,44.5,54.1,16422
5.0,2019.0,35.4,72.3,15818
7.0,2021.0,67.1,78.7,11837
5.0,2022.0,36.2,58.5,38605
15.0,2020.0,62.0,31.0,6542
5.0,2000.0,29.3,86.7,48596
18.0,2004.0,77.0,59.0,45002
17.0,2010.0,39.1,87.5,30300
4.0,2001.0,29.4,79.0,22223
3.0,2008.0,51.1,88.8,44404
17.0,2008.0,12.7,72.7,26000
1.0,2001.0,37.8,40.4,24561
18.0,2007.0,39.6,71.0,28425
8.0,2021.0,52.8,69.1,8099
13.0,2018.0,12.9,99.1,23614
5.0,2007.0,8.1,26.8,37224
13.0,2018.0,10.3,21.0,19052
20.0,2020.0,34.1,57.0,49355
11.0,2019.0,63.1,72.9,29138
5.0,2004.0,54.5,81.1,6439
10.0,2005.0,11.2,61.2,24888
8.0,2007.0,51.8,50.6,26538
17.0,2003.0,51.1,82.0,13504
18.0,2009.0,64.9,43.4,22991
2.0,2021.0,41.5,93.6,4983
2.0,2010.0,8.3,28.9,24953
9.0,2024.0,33.2,64.0,40896
18.0,2021.0,25.5,94.3,12435
19.0,2013.0,6.0,99.4,31841
7.0,2016.0,24.4,63.5,35964
13.0,2020.0,78.4,79.9,18030
