SensorID,Timestamp,EventType,EventSeverity
9.0,2024-01-14 18:00:00,None,1.0
7.0,2024-01-14 21:00:00,Construction,1.0
1.0,2024-01-15 00:00:00,Construction,
8.0,2024-01-15 03:00:00,Construction,
5.0,2024-01-15 06:00:00,Accident,
5.0,2024-01-15 09:00:00,None,1.0
1.0,2024-01-15 12:00:00,None,
10.0,2024-01-15 15:00:00,None,5.0
6.0,2024-01-15 18:00:00,Construction,3.0
2.0,2024-01-15 21:00:00,None,
8.0,2024-01-16 00:00:00,None,5.0
10.0,2024-01-16 03:00:00,Accident,
10.0,2024-01-16 06:00:00,Construction,
3.0,2024-01-16 09:00:00,Accident,5.0
6.0,2024-01-16 12:00:00,Accident,1.0
3.0,2024-01-16 15:00:00,Accident,1.0
10.0,2024-01-16 18:00:00,Construction,2.0
1.0,2024-01-16 21:00:00,None,
6.0,2024-01-17 00:00:00,None,5.0
9.0,2024-01-17 03:00:00,Construction,5.0
9.0,2024-01-17 06:00:00,None,
9.0,2024-01-17 09:00:00,Construction,
,2024-01-17 12:00:00,Accident,1.0
2.0,2024-01-17 15:00:00,None,
6.0,2024-01-17 18:00:00,Accident,
10.0,2024-01-17 21:00:00,Accident,5.0
5.0,2024-01-18 00:00:00,Accident,2.0
3.0,2024-01-18 03:00:00,None,2.0
1.0,2024-01-18 06:00:00,Accident,3.0
9.0,2024-01-18 09:00:00,Accident,
9.0,2024-01-18 12:00:00,None,4.0
6.0,2024-01-18 15:00:00,Accident,
10.0,2024-01-18 18:00:00,None,
7.0,2024-01-18 21:00:00,None,
5.0,2024-01-19 00:00:00,Construction,2.0
7.0,2024-01-19 03:00:00,Accident,
1.0,2024-01-19 06:00:00,Accident,2.0
3.0,2024-01-19 09:00:00,None,
7.0,2024-01-19 12:00:00,None,2.0
5.0,2024-01-19 15:00:00,Construction,
4.0,2024-01-19 18:00:00,Accident,
6.0,2024-01-19 21:00:00,Construction,1.0
10.0,2024-01-20 00:00:00,Construction,
2.0,2024-01-20 03:00:00,None,5.0
3.0,2024-01-20 06:00:00,None,4.0
1.0,2024-01-20 09:00:00,None,
3.0,2024-01-20 12:00:00,None,
10.0,2024-01-20 15:00:00,Construction,
4.0,2024-01-20 18:00:00,Accident,
9.0,2024-01-20 21:00:00,None,
4.0,2024-01-21 00:00:00,Construction,4.0
3.0,2024-01-21 03:00:00,Accident,4.0
5.0,2024-01-21 06:00:00,None,5.0
4.0,2024-01-21 09:00:00,Accident,
5.0,2024-01-21 12:00:00,Construction,1.0
6.0,2024-01-21 15:00:00,Accident,
3.0,2024-01-21 18:00:00,Accident,
8.0,2024-01-21 21:00:00,None,
8.0,2024-01-22 00:00:00,Accident,
1.0,2024-01-22 03:00:00,None,
2.0,2024-01-22 06:00:00,Accident,3.0
5.0,2024-01-22 09:00:00,None,2.0
4.0,2024-01-22 12:00:00,Construction,1.0
7.0,2024-01-22 15:00:00,Accident,
6.0,2024-01-22 18:00:00,None,
6.0,2024-01-22 21:00:00,Construction,5.0
8.0,2024-01-23 00:00:00,Accident,
1.0,2024-01-23 03:00:00,Construction,
2.0,2024-01-23 06:00:00,None,
6.0,2024-01-23 09:00:00,Accident,
9.0,2024-01-23 12:00:00,None,1.0
6.0,2024-01-23 15:00:00,Accident,1.0
9.0,2024-01-23 18:00:00,Accident,4.0
10.0,2024-01-23 21:00:00,Accident,2.0
2.0,2024-01-24 00:00:00,Accident,1.0
1.0,2024-01-24 03:00:00,Construction,2.0
7.0,2024-01-24 06:00:00,None,
10.0,2024-01-24 09:00:00,None,2.0
2.0,2024-01-24 12:00:00,Accident,
8.0,2024-01-24 15:00:00,None,3.0
6.0,2024-01-24 18:00:00,None,1.0
9.0,2024-01-24 21:00:00,Construction,2.0
4.0,2024-01-25 00:00:00,None,
7.0,2024-01-25 03:00:00,Construction,4.0
10.0,2024-01-25 06:00:00,None,3.0
9.0,2024-01-25 09:00:00,Construction,
2.0,2024-01-25 12:00:00,None,
9.0,2024-01-25 15:00:00,None,2.0
7.0,2024-01-25 18:00:00,Accident,
8.0,2024-01-25 21:00:00,None,5.0
